PackageID,Length,Width,Depth,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,BestFit
DY10151,11.6,11.5,55.2,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,0,0,2-Way Flat Pallet-90720,9,73.05,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10156,15.25,15.25,1.5,2-Way Flat Pallet-33264,76,79.7,2-Way Flat Pallet-54432,136,87.16,2-Way Flat Pallet-72576,188,90.36,2-Way Flat Pallet-90720,220,84.6,Half Pallet Box (2 or 4 way base)-10682,9,29.39,Full Pallet Box (2 or 4 way)-21458,34,55.27,Full Pallet Box (2 or 4 way)
DY10230,2.75,2.75,11.8,2-Way Flat Pallet-33264,330,88.53,2-Way Flat Pallet-54432,585,95.91,2-Way Flat Pallet-72576,780,95.91,2-Way Flat Pallet-90720,975,95.91,Half Pallet Box (2 or 4 way base)-10682,100,83.54,Full Pallet Box (2 or 4 way)-21458,222,92.32,Full Pallet Box (2 or 4 way)
DY10231,2.75,2.75,15.3,2-Way Flat Pallet-33264,263,91.48,2-Way Flat Pallet-54432,424,90.13,2-Way Flat Pallet-72576,585,93.27,2-Way Flat Pallet-90720,755,96.29,Half Pallet Box (2 or 4 way base)-10682,70,75.82,Full Pallet Box (2 or 4 way)-21458,156,84.12,Full Pallet Box (2 or 4 way)
DY10233,2.75,2.75,21.3,2-Way Flat Pallet-33264,195,94.43,2-Way Flat Pallet-54432,295,87.3,2-Way Flat Pallet-72576,410,91,2-Way Flat Pallet-90720,510,90.55,Half Pallet Box (2 or 4 way base)-10682,60,90.48,Full Pallet Box (2 or 4 way)-21458,124,93.08,Full Pallet Box (2 or 4 way)
DY10234,2.75,2.75,24.8,2-Way Flat Pallet-33264,152,85.7,2-Way Flat Pallet-54432,271,93.38,2-Way Flat Pallet-72576,347,89.67,2-Way Flat Pallet-90720,447,92.41,Half Pallet Box (2 or 4 way base)-10682,50,87.79,Full Pallet Box (2 or 4 way)-21458,110,96.14,Full Pallet Box (2 or 4 way)
DY10235,3.25,3.25,10,2-Way Flat Pallet-33264,264,83.83,2-Way Flat Pallet-54432,440,85.38,2-Way Flat Pallet-72576,616,89.65,2-Way Flat Pallet-90720,792,92.21,Half Pallet Box (2 or 4 way base)-10682,84,83.06,Full Pallet Box (2 or 4 way)-21458,168,82.69,Full Pallet Box (2 or 4 way)
DY10237,3.25,3.25,15.5,2-Way Flat Pallet-33264,188,92.53,2-Way Flat Pallet-54432,292,87.83,2-Way Flat Pallet-72576,396,89.33,2-Way Flat Pallet-90720,508,91.68,Half Pallet Box (2 or 4 way base)-10682,44,67.44,Full Pallet Box (2 or 4 way)-21458,97,74.01,Full Pallet Box (2 or 4 way)
DY10241,3.75,3.75,32.8,2-Way Flat Pallet-33264,55,76.26,2-Way Flat Pallet-54432,99,83.89,2-Way Flat Pallet-72576,143,90.88,2-Way Flat Pallet-90720,176,89.48,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10242,4,4,13.3,2-Way Flat Pallet-33264,144,92.12,2-Way Flat Pallet-54432,234,91.48,2-Way Flat Pallet-72576,324,95,2-Way Flat Pallet-90720,387,90.78,Half Pallet Box (2 or 4 way base)-10682,36,71.72,Full Pallet Box (2 or 4 way)-21458,72,71.4,Full Pallet Box (2 or 4 way)
DY10243,4.25,4.25,9.5,2-Way Flat Pallet-33264,144,74.28,2-Way Flat Pallet-54432,248,78.18,2-Way Flat Pallet-72576,360,85.12,2-Way Flat Pallet-90720,432,81.71,Half Pallet Box (2 or 4 way base)-10682,52,83.53,Full Pallet Box (2 or 4 way)-21458,104,83.16,Full Pallet Box (2 or 4 way)
DY10244,4.25,4.25,15,2-Way Flat Pallet-33264,92,74.93,2-Way Flat Pallet-54432,164,81.63,2-Way Flat Pallet-72576,216,80.64,2-Way Flat Pallet-90720,288,86.01,Half Pallet Box (2 or 4 way base)-10682,24,60.87,Full Pallet Box (2 or 4 way)-21458,60,75.76,Full Pallet Box (2 or 4 way)
DY10245,4.25,4.25,17.5,2-Way Flat Pallet-33264,90,85.52,2-Way Flat Pallet-54432,144,83.62,2-Way Flat Pallet-72576,198,86.24,2-Way Flat Pallet-90720,234,81.53,Half Pallet Box (2 or 4 way base)-10682,24,71.02,Full Pallet Box (2 or 4 way)-21458,52,76.6,Full Pallet Box (2 or 4 way)
DY10246,4.25,4.25,20.5,2-Way Flat Pallet-33264,72,80.15,2-Way Flat Pallet-54432,120,81.63,2-Way Flat Pallet-72576,160,81.63,2-Way Flat Pallet-90720,208,84.9,Half Pallet Box (2 or 4 way base)-10682,21,72.79,Full Pallet Box (2 or 4 way)-21458,43,74.2,Full Pallet Box (2 or 4 way)
DY10249,8.75,2.25,9,2-Way Flat Pallet-33264,160,85.23,2-Way Flat Pallet-54432,288,93.75,2-Way Flat Pallet-72576,376,91.8,2-Way Flat Pallet-90720,464,90.62,Half Pallet Box (2 or 4 way base)-10682,54,89.57,Full Pallet Box (2 or 4 way)-21458,108,89.18,Full Pallet Box (2 or 4 way)
DY10250,10.25,2.25,10.5,2-Way Flat Pallet-33264,124,90.27,2-Way Flat Pallet-54432,210,93.42,2-Way Flat Pallet-72576,272,90.76,2-Way Flat Pallet-90720,346,92.36,Half Pallet Box (2 or 4 way base)-10682,34,77.08,Full Pallet Box (2 or 4 way)-21458,72,81.25,Full Pallet Box (2 or 4 way)
DY10251,12.75,2.25,13,2-Way Flat Pallet-33264,72,80.72,2-Way Flat Pallet-54432,120,82.22,2-Way Flat Pallet-72576,168,86.33,2-Way Flat Pallet-90720,210,86.33,Half Pallet Box (2 or 4 way base)-10682,24,83.79,Full Pallet Box (2 or 4 way)-21458,52,90.37,Full Pallet Box (2 or 4 way)
DY10252,20.25,20.25,2.5,2-Way Flat Pallet-33264,28,86.29,2-Way Flat Pallet-54432,40,75.33,2-Way Flat Pallet-72576,62,87.58,2-Way Flat Pallet-90720,72,81.36,Half Pallet Box (2 or 4 way base)-10682,5,47.99,Full Pallet Box (2 or 4 way)-21458,15,71.66,Full Pallet Box (2 or 4 way)
DY10254,8,2.65,8.25,2-Way Flat Pallet-33264,170,89.38,2-Way Flat Pallet-54432,280,89.97,2-Way Flat Pallet-72576,365,87.96,2-Way Flat Pallet-90720,455,87.72,Half Pallet Box (2 or 4 way base)-10682,51,83.5,Full Pallet Box (2 or 4 way)-21458,108,88.03,Full Pallet Box (2 or 4 way)
DY10255,9.25,2.65,9.5,2-Way Flat Pallet-33264,126,88.21,2-Way Flat Pallet-54432,195,83.42,2-Way Flat Pallet-72576,285,91.45,2-Way Flat Pallet-90720,354,90.87,Half Pallet Box (2 or 4 way base)-10682,30,65.4,Full Pallet Box (2 or 4 way)-21458,78,84.65,Full Pallet Box (2 or 4 way)
